Draft Order,,Team 1 ,WAR,Team 2,
Lance Berkman,,Lance Berkman,11.3,Dontrelle Willis,1.6
Dontrelle Willis,,Ken Griffey Jr.,5.5,J.T. Snow,6.9
J.T. Snow,,Darin Erstad,2.7,Moises Alou,4.8
Ken Griffey Jr.,,Juan Pierre,1.7,Sean Burroughs,2.9
Moises Alou,,Orlando Cabrera,1.2,Mike Lowell,1.9
Darin Erstad,,Hee Sop Choi,1.2,Coco Crisp,0.8
Sean Burroughs,,David Eckstein,-0.4,Jermaine Dye,0.8
Juan Pierre,,Miguel Cairo,-1.2,Mike Lieberthal,-0.3
Mike Lowell,,Pokey Reese,-3.0,Brad Ausmus,-1.8
Orlando Cabrera,,Kerry Wood,-3.3,Jacque Jones,-2.2
Coco Crisp,,,15.7,,15.56605
Hee Sop Choi,,,,,
Jermaine Dye,,,,,
David Eckstein,,,,,
Mike Lieberthal,,,,,
Miguel Cairo,,,,,
Brad Ausmus,,,,,
Jacque Jones,,,,,
Pokey Reese,,,,,
